Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,11803,9/8/2022,-0.103053437,-0.012310782,-0.013698779,21,100
Market-Adjusted Model,11809,9/8/2022,-0.041425167,0.052514175,0.047929491,21,100
Market-Adjusted Model,11825,9/8/2022,0.006371817,0.097409844,0.095726475,21,100
Market-Adjusted Model,11844,9/8/2022,-0.03314329,0.05844473,0.056211368,21,100
Market-Adjusted Model,11845,9/8/2022,-0.047043373,0.0463358,0.042311285,21,100
Market-Adjusted Model,11850,9/8/2022,-0.075816332,0.01521638,0.013538327,21,100
Market-Adjusted Model,11884,9/8/2022,-0.033185947,0.062330169,0.056168712,21,100
Market-Adjusted Model,11891,9/8/2022,-0.107514632,-0.01319411,-0.018159973,21,100
Market-Adjusted Model,11955,9/8/2022,-0.034222017,0.057153345,0.055132641,21,100
Market-Adjusted Model,11990,9/8/2022,-0.146129116,-0.060694941,-0.056774458,21,100
Market-Adjusted Model,11995,9/8/2022,-0.180721752,-0.103486354,-0.091367094,21,100
Market-Adjusted Model,11996,9/8/2022,-0.019412105,0.071759158,0.069942553,21,100
Market-Adjusted Model,12008,9/8/2022,-0.068674452,0.023560519,0.020680207,21,100
Market-Adjusted Model,12009,9/8/2022,-0.166226877,-0.075547109,-0.076872219,21,100
Market-Adjusted Model,12015,9/8/2022,-0.088504774,0.00202883,0.000849885,21,100
Market-Adjusted Model,12017,9/8/2022,0.069583002,0.180964118,0.15893766,21,100
Market-Adjusted Model,12034,9/8/2022,-0.049156279,0.041290962,0.04019838,21,100
Market-Adjusted Model,12035,9/8/2022,-0.065164133,0.026058897,0.024190526,21,100
Market-Adjusted Model,12036,9/8/2022,-0.050219343,0.043393145,0.039135316,21,100
Market-Adjusted Model,12039,9/8/2022,-0.104353761,-0.017414654,-0.014999103,21,100
Market-Adjusted Model,12049,9/8/2022,-0.111669909,-0.019299674,-0.02231525,21,100
Market-Adjusted Model,12052,9/8/2022,-0.025256423,0.067067121,0.064098236,21,100
Market-Adjusted Model,12054,9/8/2022,-0.021756431,0.07056135,0.067598227,21,100
Market-Adjusted Model,12059,9/8/2022,-0.033881285,0.056654745,0.055473373,21,100
Market-Adjusted Model,12060,9/8/2022,-0.141130065,-0.056472557,-0.051775406,21,100
Market-Adjusted Model,12062,9/8/2022,-0.108101345,-0.019072505,-0.018746687,21,100
Market-Adjusted Model,12064,9/8/2022,-0.012865959,0.078037545,0.0764887,21,100
Market-Adjusted Model,12065,9/8/2022,-0.051610415,0.038249485,0.037744244,21,100
Market-Adjusted Model,12066,9/8/2022,-0.04951369,0.041780768,0.039840968,21,100
Market-Adjusted Model,12068,9/8/2022,-0.011837316,0.081215871,0.077517343,21,100
Market-Adjusted Model,12070,9/8/2022,-0.107844751,-0.020046107,-0.018490093,21,100
Market-Adjusted Model,12075,9/8/2022,-0.031914761,0.058888874,0.057439898,21,100
Market-Adjusted Model,12076,9/8/2022,-0.226628074,-0.143334264,-0.137273416,21,100
Market-Adjusted Model,12078,9/8/2022,0.105476672,0.200353524,0.194831331,21,100
Market-Adjusted Model,12082,9/8/2022,-0.041653664,0.056133427,0.047700994,21,100
Market-Adjusted Model,12084,9/8/2022,-0.103414345,-0.010485326,-0.014059687,21,100
Market-Adjusted Model,12098,9/8/2022,-0.056980005,0.033652718,0.032374653,21,100
Market-Adjusted Model,12103,9/8/2022,-0.069157622,0.020037489,0.020197037,21,100
